year,name,college,height_in,weight_lbs,hand_size_in,arm_length_in,40_yard,bench_press,vert_leap_in,broad_jump_in,shuttle,3cone,60yd_shuttle,bodytype,pos,seasons,wAV,games,round,overall,pick,Fitzgerald-Spielberger,Johnson,Schuckers,ras,tsa
1997,Ronde Barber,Virginia,69.4,185,9.5,31.63,4.68,14,34.5,118,4.46,7.22,11.45,SKILL,DB,16,109,241,3,66,2,877,260,443,2.980,1.885
1997,Sam Garnes,Cincinnati,75.1,225,9.75,32.63,4.78,14,30.5,102,4.38,7.48,11.57,SKILL,DB,7,37,106,5,136,8,510,38,193,3.442,2.456
1997,Sam Madison,Louisville,71.1,181,8.5,31.88,4.61,8,36.5,119,4.16,7.19,11.16,SKILL,DB,12,86,173,2,44,12,1082,460,581,3.546,1.829
1997,Scott Sanderson,Washington State,78.1,290,9.75,33,5.29,18,25.5,92,4.87,7.97,,BIG,OL,7,7,45,3,81,17,773,185,369,2.746,1.479
1997,Scott Von Der Ahe,Arizona State,71.4,251,9.13,30.75,4.84,19,31.5,116,4.49,7.74,12.04,STRONG,LB,1,1,9,6,182,22,363,19,137,3.495,2.398
1997,Seth Payne,Cornell (NY),75.9,301,9.63,34.13,5.13,25,33,114,4.52,8,,BIG,DL,10,50,121,4,114,18,600,66,244,5.898,3.868
1997,Stalin Colinet,Boston College,78.1,279,10.5,36,4.92,24,35.5,103,4.49,7.85,,BIG,DL,6,14,68,3,78,14,792,200,383,6.296,3.77
1997,Steve Scifres,Wyoming,75.9,294,9.75,34.25,5.45,33,30,105,4.53,7.95,,BIG,OL,2,0,7,3,83,19,761,175,360,5.070,3.642
1997,Tarek Saleh,Wisconsin,73.6,246,9.63,32.63,4.85,26,34,109,4.19,7.36,12.08,STRONG,LB,5,4,59,4,122,26,565,50,225,5.282,3.713
1997,Terry Day,Mississippi State,76.4,266,10,34.5,4.77,17,32.5,115,4.7,8.08,,BIG,DL,1,0,1,4,102,6,656,92,282,5.070,2.815
1997,Tiki Barber,Virginia,69.4,203,9.5,31.75,4.56,15,35.5,120,4,7.18,11.19,STRONG,RB,10,103,154,2,36,4,1184,540,644,5.094,2.387
1997,Tom Knight,Iowa,71.3,196,9.5,31.75,4.5,19,35.5,118,4.17,7.09,10.97,SKILL,DB,7,17,73,1,9,9,1887,1350,907,6.017,3.691
1997,Tony Williams,Memphis,73.3,292,10,33,5.07,28,28,106,4.23,7.55,,BIG,DL,8,32,101,5,151,23,457,31,164,5.834,3.221
1997,Trevor Pryce,Clemson,77.8,282,10.13,36.25,5.01,17,29.5,110,4.61,7.93,,BIG,DL,14,80,187,1,28,28,1311,660,714,4.912,2.702
1997,Troy Davis,Iowa State,67.9,181,8.88,30.5,4.56,16,34.5,118,4.27,7.35,11.56,STRONG,RB,3,4,46,3,62,30,909,284,466,4.309,1.96
1997,Van Hiles,Kentucky,71.1,186,9.5,31.75,4.78,10,35,116,4.26,7.24,12.43,SKILL,DB,1,1,16,5,141,13,492,36,183,2.695,1.478
1998,Alan Faneca,Louisiana State,76.6,322,10.25,33.75,5.47,20,26,94,4.71,8.66,,BIG,OL,13,108,206,1,26,26,1349,700,733,2.871,1.748
1998,Angel Rubio,Southeast Missouri State,73.9,300,10.63,34.25,5.18,23,26.5,100,4.58,8.28,,BIG,DL,2,0,2,7,221,29,264,3,126,3.622,1.845
1998,Antony Jordan,Vanderbilt,74.8,239,10.25,33.75,4.75,20,34,116,4.22,7.84,11.87,STRONG,LB,4,1,27,5,135,7,514,39,195,5.065,3.309
1998,Benji Olson,Washington,76.1,324,9.88,32.25,5.27,21,27.5,95,4.78,8.52,,BIG,OL,10,55,152,5,139,11,499,37,187,3.439,2.127
1998,Blake Spence,Oregon,75.5,249,9.75,32.38,4.89,17,28,106,4.35,7.42,11.67,STRONG,TE,3,0,18,5,146,18,474,33,173,3.248,2.031
1998,Bob Hallen,Kent State (OH),75.9,292,10,34.25,5.05,34,30,105,4.35,7.75,,BIG,OL,8,24,86,2,53,21,988,370,518,6.600,4.101
1998,Cameron Cleeland,Washington,76.4,272,10.88,33.5,4.83,28,33.5,107,4.15,7.42,11.3,STRONG,TE,8,9,89,2,40,8,1131,500,612,5.943,4.308
1998,Carl Hansen,Stanford,76.4,284,10,33.75,5.11,23,29,108,4.44,7.8,,BIG,DL,1,0,5,6,162,2,422,27,148,5.338,3.049
1998,Chester Burnett,Arizona,70.6,224,9.88,32.38,4.66,26,33.5,114,4.41,7.82,11.51,STRONG,LB,3,0,12,7,208,16,295,8,132,4.720,2.995
1998,Chris Bordano,Southern Methodist (TX),73.5,243,10,33.25,4.68,27,37,124,4.18,7.52,11.21,STRONG,LB,3,7,33,6,161,1,425,27,149,6.868,4.85
1998,Chris Floyd,Michigan,72.1,235,10.13,33,4.69,17,28,112,4.49,7.7,12.08,STRONG,RB,3,0,42,3,81,17,773,185,369,3.042,1.507
